"customer_id","first_name","last_name"
374,"Jeremy","Hurtado"
383,"Martin","Bales"
389,"Alan","Kahn"
391,"Clarence","Gamez"
421,"Lee","Hawks"
422,"Melvin","Ellington"
425,"Francis","Sikes"
450,"Jay","Robb"
474,"Dustin","Gillette"
491,"Rick","Mattox"
500,"Reginald","Kinder"
504,"Nathaniel","Adam"
518,"Gabriel","Harder"
561,"Ian","Still"
570,"Ivan","Cromwell"
581,"Virgil","Wofford"
589,"Tracy","Herrmann"
3,"Linda","Williams"
10,"Dorothy","Taylor"
34,"Rebecca","Scott"
49,"Joyce","Edwards"
53,"Heather","Morris"
58,"Jean","Bell"
59,"Cheryl","Murphy"
82,"Kathryn","Coleman"
98,"Lillian","Griffin"
153,"Suzanne","Nichols"
155,"Gail","Knight"
161,"Geraldine","Perkins"
175,"Annette","Olson"
182,"Renee","Lane"
199,"Beth","Franklin"
215,"Jessie","Banks"
225,"Arlene","Harvey"
258,"Myrtle","Fleming"
277,"Olga","Jimenez"
279,"Dianne","Shelton"
286,"Velma","Lucas"
289,"Violet","Rodriquez"
317,"Edward","Baugh"
337,"Jerry","Jordon"
339,"Walter","Perryman"
385,"Phillip","Holm"
400,"Bryan","Hardison"
411,"Norman","Currier"
419,"Chad","Carbone"
445,"Micheal","Forman"
456,"Ronnie","Ricketts"
463,"Darrell","Power"
495,"Charlie","Bess"
498,"Gene","Sanborn"
516,"Elmer","Noe"
517,"Brad","Mccurdy"
527,"Cory","Meehan"
537,"Clinton","Buford"
540,"Tyrone","Asher"
546,"Kelly","Knott"
572,"Sidney","Burleson"
575,"Isaac","Oglesby"
582,"Andy","Vanhorn"
585,"Perry","Swafford"
587,"Sergio","Stanfield"
590,"Seth","Hannon"
593,"Rene","Mcalister"
8,"Susan","Wilson"
11,"Lisa","Anderson"
14,"Betty","White"
24,"Kimberly","Lee"
69,"Judy","Gray"
77,"Jane","Bennett"
99,"Emily","Diaz"
100,"Robin","Hayes"
101,"Peggy","Myers"
123,"Shannon","Freeman"
142,"April","Burns"
156,"Bertha","Ferguson"
170,"Beatrice","Arnold"
177,"Samantha","Duncan"
193,"Katie","Elliott"
231,"Georgia","Jacobs"
232,"Constance","Reid"
233,"Lillie","Kim"
235,"Jackie","Lynch"
240,"Marlene","Welch"
243,"Lydia","Burke"
276,"Brandy","Graves"
280,"Tracey","Barrett"
283,"Felicia","Sutton"
285,"Miriam","Mckinney"
294,"Shelly","Watts"
296,"Ramona","Hale"
329,"Frank","Waggoner"
340,"Patrick","Newsom"
343,"Douglas","Graf"
351,"Jack","Foust"
357,"Keith","Rico"
392,"Sean","Douglass"
414,"Vincent","Ralston"
427,"Jesus","Mccartney"
433,"Don","Bone"
435,"Ricky","Shelby"
453,"Calvin","Martel"
486,"Glen","Talbert"
507,"Edgar","Rhoads"
508,"Milton","Howland"
510,"Ben","Easter"
521,"Roland","South"
531,"Jamie","Waugh"
536,"Fernando","Churchill"
553,"Max","Pitt"
583,"Marshall","Thorn"
594,"Eduardo","Hiatt"
597,"Freddie","Duggan"
4,"Barbara","Jones"
43,"Christine","Roberts"
60,"Mildred","Bailey"
68,"Nicole","Peterson"
73,"Beverly","Brooks"
83,"Louise","Jenkins"
104,"Rita","Graham"
105,"Dawn","Sullivan"
127,"Elaine","Stevens"
130,"Charlotte","Hunter"
150,"Danielle","Daniels"
180,"Stacy","Cunningham"
183,"Ida","Andrews"
192,"Laurie","Lawrence"
201,"Vicki","Fields"
216,"Natalie","Meyer"
224,"Pearl","Garza"
227,"Colleen","Burton"
261,"Deanna","Byrd"
284,"Sonia","Gregory"
287,"Becky","Miles"
290,"Kristina","Chambers"
292,"Misty","Lambert"
324,"Gary","Coy"
331,"Eric","Robert"
333,"Andrew","Purdy"
335,"Gregory","Mauldin"
336,"Joshua","Mark"
341,"Peter","Menard"
352,"Albert","Crouse"
359,"Willie","Markham"
364,"Benjamin","Varney"
382,"Victor","Barkley"
387,"Jesse","Schilling"
409,"Rodney","Moeller"
415,"Glenn","Pullen"
417,"Travis","Estep"
431,"Joel","Francisco"
455,"Jon","Wiles"
466,"Leo","Ebert"
475,"Pedro","Chestnut"
488,"Shane","Millard"
490,"Sam","Mcduffie"
493,"Brent","Harkins"
511,"Chester","Benner"
519,"Ron","Deluca"
530,"Darryl","Ashcraft"
534,"Christian","Jung"
541,"Darren","Windham"
557,"Felix","Gaffney"
562,"Wallace","Slone"
564,"Bob","Pfeiffer"
571,"Johnnie","Chisholm"
596,"Enrique","Forsythe"
598,"Wade","Delvalle"
37,"Pamela","Baker"
44,"Marie","Turner"
62,"Joan","Cooper"
76,"Irene","Price"
81,"Andrea","Henderson"
85,"Anne","Powell"
106,"Connie","Wallace"
189,"Loretta","Carpenter"
217,"Agnes","Bishop"
226,"Maureen","Little"
268,"Nina","Soto"
269,"Cassandra","Walters"
278,"Billie","Horton"
293,"Mae","Fletcher"
298,"Erika","Pena"
299,"James","Gannon"
319,"Ronald","Weiner"
345,"Carl","Artis"
350,"Juan","Fraley"
365,"Bruce","Schwarz"
369,"Fred","Wheat"
379,"Carlos","Coughlin"
384,"Ernest","Stepp"
440,"Bernard","Colby"
443,"Francisco","Skidmore"
460,"Leon","Bostic"
477,"Dan","Paine"
514,"Franklin","Troutman"
551,"Clayton","Barbee"
568,"Alberto","Henning"
578,"Willard","Lumpkin"
9,"Margaret","Moore"
33,"Anna","Hill"
65,"Rose","Howard"
67,"Kelly","Torres"
88,"Bonnie","Hughes"
93,"Phyllis","Foster"
118,"Kim","Cruz"
143,"Leslie","Gordon"
165,"Lorraine","Stephens"
169,"Erica","Matthews"
184,"Vivian","Ruiz"
185,"Roberta","Harper"
212,"Wilma","Richards"
252,"Mattie","Hoffman"
282,"Jenny","Castro"
305,"Richard","Mccrary"
307,"Joseph","Joy"
312,"Mark","Rinehart"
338,"Dennis","Gilman"
358,"Samuel","Marlow"
367,"Adam","Gooch"
375,"Aaron","Selby"
394,"Chris","Brothers"
420,"Jacob","Lance"
430,"Ray","Houle"
432,"Edwin","Burk"
437,"Randall","Neumann"
476,"Derrick","Bourque"
523,"Harvey","Guajardo"
528,"Claude","Herzog"
539,"Mathew","Bolin"
543,"Lance","Pemberton"
544,"Cody","Nolen"
547,"Kurt","Emmons"
552,"Hugh","Waldrop"
554,"Dwayne","Olvera"
567,"Alfredo","Mcadams"
18,"Carol","Garcia"
22,"Laura","Rodriguez"
47,"Frances","Parker"
55,"Doris","Reed"
79,"Rachel","Barnes"
94,"Norma","Gonzales"
109,"Edna","West"
134,"Emma","Boyd"
152,"Alicia","Mills"
174,"Yvonne","Watkins"
195,"Vanessa","Sims"
203,"Tara","Ryan"
238,"Nellie","Garrett"
247,"Stella","Moreno"
249,"Dora","Medina"
270,"Leah","Curtis"
288,"Bobbie","Craig"
303,"William","Satterfield"
304,"David","Royal"
308,"Thomas","Grigsby"
316,"Steven","Curley"
322,"Jason","Morrissey"
327,"Larry","Thrasher"
355,"Terry","Grissom"
370,"Wayne","Truong"
395,"Johnny","Turpin"
401,"Tony","Carranza"
402,"Luis","Yanez"
413,"Marvin","Yee"
428,"Herbert","Kruger"
458,"Lloyd","Dowd"
478,"Lewis","Lyman"
480,"Corey","Hauser"
489,"Ricardo","Meador"
496,"Tyler","Wren"
501,"Ruben","Geary"
505,"Rafael","Abney"
545,"Julio","Noland"
17,"Donna","Thompson"
19,"Ruth","Martinez"
97,"Annie","Russell"
140,"Eva","Ramos"
191,"Jeanette","Greene"
205,"Eileen","Carr"
218,"Vera","Mccoy"
246,"Marian","Mendoza"
255,"Irma","Pearson"
325,"Timothy","Bunn"
326,"Jose","Andrew"
330,"Scott","Shelley"
378,"Eugene","Culpepper"
399,"Danny","Isom"
509,"Raul","Fortier"
525,"Adrian","Clary"
556,"Armando","Gruber"
599,"Austin","Cintron"
70,"Christina","Ramirez"
95,"Paula","Bryant"
117,"Edith","Mcdonald"
159,"Jill","Hawkins"
162,"Lauren","Hudson"
291,"Toni","Holt"
321,"Kevin","Schuler"
328,"Jeffrey","Spear"
353,"Jonathan","Scarborough"
412,"Allen","Butterfield"
449,"Oscar","Aquino"
483,"Vernon","Chapa"
524,"Jared","Ely"
555,"Dwight","Lombardi"
586,"Kirk","Stclair"
194,"Kristen","Chavez"
222,"Delores","Hansen"
223,"Melinda","Fernandez"
271,"Penny","Neal"
313,"Donald","Mahon"
344,"Henry","Billingsley"
429,"Frederick","Isbell"
465,"Floyd","Gandy"
542,"Lonnie","Tirado"
548,"Allan","Cornish"
549,"Nelson","Christenson"
164,"Joann","Gardner"
250,"Jo","Fowler"
301,"Robert","Baughman"
311,"Paul","Trout"
320,"Anthony","Schwab"
398,"Antonio","Meek"
492,"Lester","Kraus"
48,"Ann","Evans"
124,"Sheila","Wells"
136,"Anita","Morales"
315,"Kenneth","Gooden"
464,"Jerome","Kenyon"
61,"Katherine","Rivera"
248,"Caroline","Bowman"
272,"Kay","Caldwell"
310,"Daniel","Cabral"
110,"Tiffany","Jordan"
281,"Leona","Obrien"
318,"Brian","Wyman"
